Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
lenet(100),98.85000000000001,1.934894847869873,1.0,-,-
B-lenet(100),99.02,0.7911780595779419,2.4455870893361893,{0.0001},"{63.75, 36.25}"
B-lenet(100),99.02,0.6324533700942994,3.059347833946048,{0.0005},"{73.88, 26.12}"
B-lenet(100),99.03,0.5654625654220581,3.4217912310882657,{0.001},"{78.17, 21.83}"
B-lenet(100),99.03999999999999,0.43876676559448247,4.409848237362043,{0.005},"{86.42, 13.58}"
B-lenet(100),99.02,0.38896329402923585,4.974492137359469,{0.01},"{89.42, 10.58}"
B-lenet(100),98.98,0.34147675037384034,5.666256475006271,{0.025},"{92.5, 7.5}"
B-lenet(100),98.98,0.3133096933364868,6.175662256934529,{0.05},"{94.16, 5.84}"
B-lenet(100),98.99,0.29889914989471433,6.47340364986461,{0.075},"{95.13, 4.87}"
B-lenet(100),99.00999999999999,0.2919534921646118,6.627407788562857,{0.1},"{95.55, 4.45}"
B-lenet(100),99.03999999999999,0.2680188179016113,7.219249987813041,{0.25},"{97.16, 2.84}"
B-lenet(100),98.96000000000001,0.2516691446304321,7.688248198686425,{0.5},"{98.25, 1.75}"
B-lenet(100),98.72,0.23191802501678466,8.34301192298373,{0.75},"{99.49, 0.51}"
B-lenet(100),98.61,0.22631278038024902,8.549649050393343,{1.0},"{99.88, 0.12}"
B-lenet(100),98.57000000000001,0.22375333309173584,8.647445922410427,{2.0},"{100.0, 0.0}"
B-lenet(100),98.57000000000001,0.22392523288726807,8.640807571891498,{3.0},"{100.0, 0.0}"
B-lenet(100),98.57000000000001,0.22461490631103517,8.614276227912185,{5.0},"{100.0, 0.0}"
B-lenet(100),98.57000000000001,0.2236081600189209,8.653060101680321,{10.0},"{100.0, 0.0}"
