Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
alexnet(100),76.25,3.7664418458938598,1.0,-,-
B-alexnet(100),76.59,2.7759541273117065,1.35680982939778,"{0.0001, 0.0001}","{18.68, 18.92, 62.4}"
B-alexnet(100),76.74,2.6109987020492555,1.4425291912009566,"{0.0001, 0.001}","{18.68, 27.36, 53.96}"
B-alexnet(100),76.78,2.468449831008911,1.5258328520918045,"{0.0001, 0.005}","{18.68, 34.24, 47.08}"
B-alexnet(100),77.02,2.3967559814453128,1.5714748915000463,"{0.0001, 0.01}","{18.68, 37.59, 43.73}"
B-alexnet(100),77.49000000000001,2.2007667064666747,1.7114225850594007,"{0.0001, 0.05}","{18.68, 46.88, 34.44}"
B-alexnet(100),77.4,2.1023387908935547,1.7915484707833476,"{0.0001, 0.1}","{18.68, 52.0, 29.32}"
B-alexnet(100),76.5,1.7765653133392334,2.1200694495236165,"{0.0001, 0.5}","{18.68, 67.5, 13.82}"
B-alexnet(100),75.55,1.591189932823181,2.367059876510921,"{0.0001, 0.75}","{18.68, 76.22, 5.1}"
B-alexnet(100),75.36,1.5243541240692138,2.470844396602192,"{0.0001, 1.0}","{18.68, 79.28, 2.04}"
B-alexnet(100),75.05,1.4799089193344115,2.5450497640002165,"{0.0001, 5.0}","{18.68, 81.32, 0.0}"
B-alexnet(100),75.05,1.4894171237945555,2.5288025669385203,"{0.0001, 10.0}","{18.68, 81.32, 0.0}"
B-alexnet(100),76.61,2.656531476974487,1.4178043356683447,"{0.001, 0.0001}","{27.67, 13.39, 58.94}"
B-alexnet(100),76.78,2.505472016334534,1.5032863354044181,"{0.001, 0.001}","{27.67, 20.71, 51.62}"
B-alexnet(100),77.29,2.3839956283569337,1.5798862217250447,"{0.001, 0.005}","{27.67, 26.85, 45.48}"
B-alexnet(100),77.39,2.325763964653015,1.6194428596952581,"{0.001, 0.01}","{27.67, 29.88, 42.45}"
B-alexnet(100),77.71000000000001,2.1326390981674197,1.766094342512228,"{0.001, 0.05}","{27.67, 38.72, 33.61}"
B-alexnet(100),77.42,2.0334125280380246,1.852276305943674,"{0.001, 0.1}","{27.67, 43.66, 28.67}"
B-alexnet(100),76.64,1.7125967025756836,2.19925791065069,"{0.001, 0.5}","{27.67, 58.76, 13.57}"
B-alexnet(100),75.77000000000001,1.5377480030059814,2.449323191141357,"{0.001, 0.75}","{27.67, 67.29, 5.04}"
B-alexnet(100),75.64,1.4640836238861086,2.572559233943629,"{0.001, 1.0}","{27.67, 70.31, 2.02}"
B-alexnet(100),75.2,1.4225607872009278,2.647649140747666,"{0.001, 5.0}","{27.67, 72.33, 0.0}"
B-alexnet(100),75.2,1.423154425621033,2.6465447305553425,"{0.001, 10.0}","{27.67, 72.33, 0.0}"
B-alexnet(100),76.71,2.533898949623108,1.4864214875080477,"{0.005, 0.0001}","{35.86, 9.53, 54.61}"
B-alexnet(100),77.42,2.388477325439453,1.5769217508484727,"{0.005, 0.001}","{35.86, 15.65, 48.49}"
B-alexnet(100),77.47,2.2747702121734616,1.655746073048477,"{0.005, 0.005}","{35.86, 21.12, 43.02}"
B-alexnet(100),77.45,2.2196104526519775,1.6968931829428615,"{0.005, 0.01}","{35.86, 23.82, 40.32}"
B-alexnet(100),77.74,2.0561891555786134,1.8317584428821578,"{0.005, 0.05}","{35.86, 31.92, 32.22}"
B-alexnet(100),77.86,1.9578063488006592,1.9238071468105924,"{0.005, 0.1}","{35.86, 36.56, 27.58}"
B-alexnet(100),77.02,1.646831250190735,2.287084268930185,"{0.005, 0.5}","{35.86, 51.08, 13.06}"
B-alexnet(100),76.12,1.4716336250305175,2.5593610949299657,"{0.005, 0.75}","{35.86, 59.21, 4.93}"
B-alexnet(100),75.85,1.415646243095398,2.6605812463841967,"{0.005, 1.0}","{35.86, 62.17, 1.97}"
B-alexnet(100),75.49,1.3740989208221437,2.741026711264966,"{0.005, 5.0}","{35.86, 64.14, 0.0}"
B-alexnet(100),75.49,1.3685897827148439,2.7520604738276253,"{0.005, 10.0}","{35.86, 64.14, 0.0}"
B-alexnet(100),76.63,2.44107072353363,1.5429466297648504,"{0.01, 0.0001}","{40.18, 7.94, 51.88}"
B-alexnet(100),77.72,2.3309211254119875,1.6158598439182046,"{0.01, 0.001}","{40.18, 13.47, 46.35}"
B-alexnet(100),77.36,2.2288952112197875,1.689824549370642,"{0.01, 0.005}","{40.18, 18.48, 41.34}"
B-alexnet(100),77.66999999999999,2.1697004318237307,1.7359271310685025,"{0.01, 0.01}","{40.18, 21.04, 38.78}"
B-alexnet(100),77.79,2.014817810058594,1.86937093125275,"{0.01, 0.05}","{40.18, 28.78, 31.04}"
B-alexnet(100),77.69,1.91510112285614,1.9667065101380499,"{0.01, 0.1}","{40.18, 33.25, 26.57}"
B-alexnet(100),77.03999999999999,1.6241067409515382,2.319085162892164,"{0.01, 0.5}","{40.18, 47.14, 12.68}"
B-alexnet(100),76.27000000000001,1.45314564704895,2.591923152054823,"{0.01, 0.75}","{40.18, 55.02, 4.8}"
B-alexnet(100),76.14,1.3859619140625,2.7175651853619494,"{0.01, 1.0}","{40.18, 57.89, 1.93}"
B-alexnet(100),75.74,1.3557471275329591,2.778130057887432,"{0.01, 5.0}","{40.18, 59.82, 0.0}"
B-alexnet(100),75.74,1.3423932552337645,2.8057663663081884,"{0.01, 10.0}","{40.18, 59.82, 0.0}"
B-alexnet(100),77.24,2.186367917060852,1.7226935212976924,"{0.05, 0.0001}","{51.65, 4.93, 43.42}"
B-alexnet(100),77.42999999999999,2.1183616876602174,1.777997528861083,"{0.05, 0.001}","{51.65, 8.93, 39.42}"
B-alexnet(100),77.74,2.0315628051757812,1.853962789778467,"{0.05, 0.005}","{51.65, 12.55, 35.8}"
B-alexnet(100),77.57,1.9901215553283693,1.892568740743275,"{0.05, 0.01}","{51.65, 14.62, 33.73}"
B-alexnet(100),77.77,1.8585911512374877,2.0265037006046684,"{0.05, 0.05}","{51.65, 20.93, 27.42}"
B-alexnet(100),77.73,1.7711624383926392,2.126536654261916,"{0.05, 0.1}","{51.65, 24.79, 23.56}"
B-alexnet(100),76.94,1.506525444984436,2.5000851186637414,"{0.05, 0.5}","{51.65, 37.05, 11.3}"
B-alexnet(100),76.38000000000001,1.3571673393249513,2.7752228754394213,"{0.05, 0.75}","{51.65, 43.97, 4.38}"
B-alexnet(100),76.25,1.3010090351104737,2.8950159024637645,"{0.05, 1.0}","{51.65, 46.56, 1.79}"
B-alexnet(100),75.98,1.2612603902816772,2.986252382866555,"{0.05, 5.0}","{51.65, 48.35, 0.0}"
B-alexnet(100),75.98,1.261126470565796,2.9865694946551002,"{0.05, 10.0}","{51.65, 48.35, 0.0}"
B-alexnet(100),77.78,2.03590567111969,1.8500080329470392,"{0.1, 0.0001}","{58.04, 3.85, 38.11}"
B-alexnet(100),77.92,1.9855182647705079,1.896956534081139,"{0.1, 0.001}","{58.04, 7.07, 34.89}"
